# #Frame C1_sub1 C1_sub2 C2_sub1 C2_sub2
5310 0 54 4 12
5320 0 64 4 6
5330 0 71 4 18
5340 0 65 4 0
5350 0 49 4 23
5360 0 60 4 3
5370 0 65 1 10
5380 0 73 4 11
5390 0 51 0 9
5400 0 40 3 15
5410 0 14 3 12
5420 0 6 2 12
5430 0 13 3 25
5440 0 44 0 10
5450 0 28 1 21
5460 0 17 5 0
5470 0 8 4 7
5480 0 12 5 0
5490 0 34 2 1
5500 0 32 4 0
5510 0 30 5 0
5520 0 16 5 0
5530 0 6 5 0
5540 0 3 6 0
5550 0 8 0 0
5560 0 2 12 0
5570 0 0 16 0
5580 0 19 24 0
5590 0 16 11 0
5600 0 9 20 0
5610 0 12 0 0
5620 0 15 0 0
5630 0 26 0 0
5640 0 32 5 0
5650 0 23 0 0
5660 0 21 1 0
5670 0 16 0 0
5680 0 2 0 0
5690 0 4 1 0
5700 0 11 5 0
5710 4 9 0 0
5720 1 8 0 10
5730 0 3 1 1
5740 0 6 4 0
5750 0 3 0 0
5760 0 0 0 0
5770 0 0 0 0
5780 0 4 0 0
5790 0 0 0 0
5800 0 5 0 1
5810 0 0 0 2
5820 0 0 0 0
5830 0 1 0 1
5840 0 4 0 0
5850 0 0 0 0
5860 0 6 0 0
5870 0 0 0 5
5880 0 0 1 0
5890 0 8 0 0
5900 0 7 0 0
5910 0 0 0 0
5920 0 15 0 1
5930 0 18 0 1
5940 0 8 0 0
5950 0 4 0 0
5960 0 1 0 1
5970 0 1 0 0
5980 0 0 6 0
5990 0 12 6 0
6000 0 18 0 0
6010 0 20 5 0
6020 0 16 11 8
6030 0 15 8 1
6040 0 38 0 2
6050 0 33 7 0
6060 0 24 4 7
6070 0 57 4 30
6080 0 45 2 32
6090 0 28 1 33
6100 0 30 1 34
6110 0 37 0 36
6120 0 27 1 38
6130 0 48 1 31
6140 0 47 1 20
6150 0 48 4 19
6160 0 39 0 18
6170 0 37 0 27
6180 0 42 0 25
6190 0 41 1 28
6200 0 66 1 19
6210 0 48 0 12
6220 0 37 0 16
6230 0 45 0 32
6240 0 36 0 31
6250 0 54 0 16
6260 0 48 0 29
6270 0 52 1 27
6280 0 73 0 36
6290 0 69 0 28
6300 0 42 0 34
6310 0 34 1 20
6320 0 32 1 29
6330 0 21 0 42
6340 0 18 0 28
6350 0 1 1 11
6360 0 17 0 36
6370 0 16 2 35
6380 0 18 1 25
6390 0 17 2 24
6400 0 19 0 17
6410 0 39 1 17
6420 0 39 0 14
6430 0 13 2 16
6440 0 6 0 25
6450 0 12 0 28
6460 0 13 0 30
6470 0 13 0 32
6480 0 5 0 28
6490 0 1 0 44
6500 0 0 0 34
6510 0 0 0 33
6520 0 1 0 26
6530 0 0 0 37
6540 0 0 0 27
6550 0 0 0 38
6560 0 16 0 25
6570 0 7 0 28
6580 0 0 0 19
6590 0 0 0 33
6600 0 18 0 38
6610 0 21 0 20
6620 0 6 0 5
6630 0 1 0 24
6640 0 6 0 29
6650 0 0 0 23
6660 0 0 0 25
6670 18 0 0 21
6680 4 0 2 11
6690 26 0 0 9
6700 15 0 0 12
6710 2 0 1 12
6720 7 0 0 11
6730 10 0 0 20
6740 10 0 0 37
6750 9 0 0 25
6760 9 0 0 18
6770 6 0 2 10
6780 9 0 2 12
6790 5 0 1 10
6800 14 0 1 10
6810 15 0 0 9
6820 0 0 0 9
6830 0 0 0 11
6840 15 0 0 6
6850 11 0 0 0
6860 19 1 0 0
6870 17 0 0 13
6880 11 0 0 12
6890 14 0 0 15
6900 25 0 2 8
6910 11 0 0 11
6920 16 0 0 0
6930 12 1 11 0
6940 4 1 0 0
6950 7 0 3 0
6960 11 0 7 0
6970 13 0 2 0
6980 13 0 0 1
6990 0 0 2 10
7000 1 0 0 0
7010 16 1 0 0
7020 8 0 1 0
7030 1 0 0 0
7040 8 0 0 0
7050 15 0 0 0
7060 3 0 1 0
7070 10 0 2 0
7080 36 0 0 0
7090 21 0 3 0
7100 30 0 2 0
7110 3 0 5 1
7120 22 0 1 0
7130 29 0 3 0
7140 8 0 3 0
7150 0 0 0 0
7160 10 0 0 0
7170 20 0 0 6
7180 29 3 0 27
7190 9 0 0 11
7200 0 0 0 14
7210 27 1 0 4
7220 0 0 0 0
7230 0 0 2 0
7240 0 0 0 0
7250 0 0 0 10
7260 0 0 0 13
7270 0 0 0 7
7280 0 0 0 0
7290 0 0 0 0
7300 0 0 6 7
7310 0 0 3 0
7320 0 0 4 0
7330 15 0 0 0
7340 12 0 0 0
7350 11 0 1 0
7360 34 0 1 0
7370 36 0 0 16
7380 18 0 0 4
7390 31 1 1 0
7400 12 1 0 0
7410 23 0 1 0
7420 20 0 0 0
7430 24 0 6 0
7440 16 0 4 0
7450 16 0 1 0
7460 15 0 1 0
7470 9 0 0 0
7480 14 0 1 0
7490 7 0 1 0
7500 26 0 4 0
7510 21 0 1 0
7520 25 1 0 0
7530 50 3 0 0
7540 16 0 0 0
7550 13 0 0 0
7560 24 0 0 0
7570 27 0 0 0
7580 23 0 0 0
7590 23 0 1 0
7600 17 0 0 0
7610 30 0 0 0
7620 28 1 0 0
7630 27 0 0 0
7640 28 0 0 0
7650 20 0 0 0
7660 42 0 1 0
7670 17 0 0 0
7680 5 0 0 8
7690 12 0 0 13
7700 20 0 0 8
7710 13 0 0 9
7720 19 3 0 5
7730 27 0 0 3
7740 23 0 0 0
7750 3 0 0 0
7760 0 0 0 0
7770 4 0 0 0
7780 22 0 0 0
7790 14 0 0 0
7800 19 10 0 0
7810 25 16 0 0
7820 20 6 0 0
7830 20 9 0 0
7840 27 5 10 0
7850 22 7 0 0
7860 17 11 6 0
7870 26 6 15 0
7880 20 6 13 0
7890 24 7 13 0
7900 32 4 15 0
7910 32 2 7 0
7920 26 12 6 0
7930 20 4 9 0
7940 18 27 0 0
7950 25 12 0 2
7960 22 8 0 14
7970 26 0 0 4
7980 26 0 0 33
7990 29 8 0 28
8000 30 6 0 6
8010 11 5 0 0
8020 8 12 6 0
8030 0 9 4 6
8040 0 9 3 0
8050 0 6 5 0
8060 9 2 0 3
8070 15 0 0 0
8080 32 0 0 0
8090 12 0 0 0
8100 10 0 0 0
8110 10 1 0 0
8120 9 0 1 5
8130 12 0 0 11
8140 9 0 0 17
8150 19 1 0 15
8160 1 7 0 21
8170 0 3 0 16
8180 0 20 0 1
8190 0 21 0 4
8200 0 37 0 0
8210 0 10 0 0
8220 0 0 0 0
8230 0 9 1 0
8240 0 28 0 0
8250 0 14 0 0
8260 0 13 0 0
8270 0 4 0 0
8280 0 0 0 0
8290 0 0 0 2
8300 10 0 0 18
8310 16 0 0 7
8320 0 0 0 20
8330 10 0 0 29
8340 0 0 0 18
8350 0 5 0 30
8360 0 13 0 41
8370 0 14 0 42
8380 0 10 0 38
8390 0 10 0 40
8400 0 5 0 38
8410 0 4 1 40
8420 0 1 0 26
8430 0 0 0 61
8440 0 1 0 52
8450 1 0 0 63
8460 0 3 0 61
8470 0 5 0 57
8480 0 11 0 6
8490 0 13 0 9
8500 0 6 0 0
8510 0 3 0 0
8520 3 3 0 1
8530 9 13 0 16
8540 11 6 0 40
8550 0 10 0 51
8560 0 1 0 23
8570 0 7 0 32
8580 0 1 0 34
8590 0 0 0 13
8600 0 0 0 5
8610 0 0 0 0
8620 0 0 0 0
8630 0 5 0 0
8640 0 3 0 0
8650 0 14 0 0
8660 0 1 1 7
8670 0 0 0 0
8680 0 0 3 5
8690 0 0 0 8
8700 0 0 0 7
8710 0 5 0 31
8720 0 0 0 30
8730 0 0 0 35
8740 0 0 0 52
8750 0 0 0 35
8760 0 0 0 41
8770 0 3 0 42
8780 0 9 0 20
8790 0 13 0 9
8800 0 6 0 37
8810 0 0 0 17
8820 0 0 0 41
8830 0 0 0 13
8840 0 0 0 35
8850 0 0 0 20
8860 0 0 0 20
8870 0 0 0 11
8880 0 0 0 15
8890 0 0 0 26
8900 0 0 0 9
8910 8 0 0 57
8920 25 0 0 21
8930 17 0 0 24
8940 22 0 0 21
8950 17 0 0 16
8960 26 0 0 10
8970 16 0 0 25
8980 15 0 0 21
8990 23 0 0 39
9000 23 0 0 25
9010 22 0 0 27
9020 12 0 0 20
9030 31 0 0 27
9040 15 1 0 26
9050 21 0 0 20
9060 17 0 0 19
9070 11 0 0 17
9080 5 0 0 33
9090 9 0 0 41
9100 23 0 0 31
9110 10 0 0 37
9120 14 0 0 51
9130 11 0 0 20
9140 0 0 0 11
9150 8 0 0 38
9160 0 3 0 37
9170 0 4 0 37
9180 0 0 0 40
9190 0 1 0 26
9200 0 3 0 36
9210 0 0 0 31
9220 0 0 0 13
9230 0 0 0 25
9240 0 0 0 38
9250 0 7 0 36
9260 0 5 0 35
9270 0 18 0 27
9280 0 5 0 57
9290 0 15 0 8
9300 0 8 0 0
9310 0 8 4 0
9320 0 3 5 0
9330 0 0 0 0
9340 0 1 0 0
9350 0 0 0 0
9360 0 0 0 0
9370 0 0 0 0
9380 0 0 0 0
9390 0 0 0 4
9400 0 0 0 0
9410 0 5 0 0
9420 0 21 0 0
9430 0 8 0 0
9440 0 31 3 0
9450 0 22 0 0
9460 0 12 0 5
9470 0 13 0 1
9480 0 12 0 6
9490 0 1 0 3
9500 0 1 0 12
9510 0 1 0 2
9520 0 0 0 23
9530 0 1 0 36
9540 0 2 0 16
9550 0 0 0 6
9560 0 0 0 3
9570 0 9 0 19
9580 0 4 0 18
9590 0 0 0 33
9600 0 0 0 0
9610 0 3 0 2
9620 0 0 17 0
9630 0 0 9 0
9640 0 0 1 0
9650 0 0 1 0
9660 0 0 30 0
9670 6 0 31 0
9680 5 0 19 0
9690 0 0 42 0
9700 0 0 11 0
9710 1 0 5 0
9720 23 0 12 0
9730 23 0 11 0
9740 5 0 15 0
9750 0 0 17 0
9760 0 0 20 0
9770 1 0 20 0
9780 0 0 19 0
9790 0 6 33 0
9800 0 0 24 0
9810 0 0 32 0
9820 0 0 36 0
9830 0 0 25 0
9840 0 0 38 0
9850 0 0 34 0
9860 0 0 42 0
9870 0 0 27 0
9880 0 12 32 0
9890 0 11 33 0
9900 0 0 35 0
9910 0 0 38 0
9920 0 1 38 0
9930 0 0 28 0
9940 0 0 29 0
9950 0 1 11 0
9960 0 0 4 0
9970 0 0 21 0
9980 0 0 17 0
9990 0 0 16 0
10000 0 0 0 0
10010 0 1 0 0
10020 0 6 0 0
10030 0 0 4 0
10040 0 1 0 0
10050 6 0 0 0
10060 9 0 0 0
10070 17 0 8 0
10080 9 0 2 0
10090 10 0 32 0
10100 0 0 28 0
10110 5 0 24 0
10120 13 0 22 0
10130 12 0 34 0
10140 0 0 24 0
10150 0 0 18 0
10160 0 4 5 0
10170 0 9 12 0
10180 0 0 1 0
10190 0 0 0 0
10200 0 0 12 0
10210 0 1 2 0
10220 0 0 10 0
10230 1 0 31 0
10240 0 0 33 0
10250 0 0 21 0
10260 0 4 22 0
10270 0 3 3 0
10280 0 0 10 0
10290 0 15 1 0
10300 0 21 0 0
10310 0 12 11 0
10320 0 0 7 0
10330 0 11 23 0
10340 0 35 24 0
10350 0 22 0 0
10360 0 14 9 0
10370 0 41 5 0
10380 0 25 0 0
10390 0 26 0 0
10400 0 39 0 0
10410 0 23 0 2
10420 0 27 18 4
10430 0 9 7 1
10440 0 10 0 0
10450 0 13 3 0
10460 0 11 0 1
10470 0 11 0 0
10480 0 12 0 0
10490 0 7 1 0
10500 0 4 0 0
10510 0 9 0 0
10520 0 25 0 0
10530 0 14 0 0
10540 0 7 0 0
10550 0 3 0 0
10560 0 14 4 0
10570 0 0 5 0
10580 0 14 0 0
10590 0 8 0 0
10600 0 15 0 0
10610 0 6 0 0
10620 0 0 0 0
10630 0 0 0 0
10640 0 10 0 0
10650 0 10 0 9
10660 0 13 0 0
10670 0 0 0 0
10680 0 1 0 0
10690 7 1 0 0
10700 0 3 0 0
10710 2 4 0 0
10720 9 0 0 0
10730 0 7 0 0
10740 0 8 0 1
10750 0 0 0 0
10760 0 1 7 0
10770 0 2 0 0
10780 0 0 2 0
10790 0 1 2 0
10800 0 0 3 0
10810 0 0 19 0
10820 0 3 12 0
10830 0 0 16 0
10840 0 4 19 0
10850 3 0 16 0
10860 0 4 30 0
10870 0 4 37 0
10880 0 5 24 0
10890 0 0 6 0
10900 0 0 0 0
10910 0 0 9 0
10920 1 0 26 0
10930 0 0 27 0
10940 0 0 3 0
10950 0 0 0 0
10960 0 0 13 0
10970 0 0 1 0
10980 0 0 10 0
10990 0 0 12 0
11000 6 0 25 0
11010 0 0 17 0
11020 0 0 43 0
11030 0 0 11 0
11040 2 0 12 0
11050 0 0 26 0
11060 0 0 4 0
11070 1 0 34 0
11080 0 1 46 0
11090 0 0 41 0
11100 0 0 39 0
11110 9 0 49 0
11120 6 0 48 0
11130 0 0 62 0
11140 2 0 52 0
11150 3 0 31 0
11160 0 0 32 0
11170 0 0 30 0
11180 0 0 21 0
11190 0 0 26 0
11200 0 0 30 0
11210 0 0 32 0
11220 0 0 17 0
11230 0 0 19 0
11240 0 1 19 0
11250 0 0 16 0
11260 0 0 7 0
11270 0 0 4 0
11280 0 0 4 0
11290 6 0 5 0
11300 0 1 10 0
11310 3 0 14 0
11320 0 0 22 0
11330 0 0 19 0
11340 0 0 22 0
11350 0 0 73 0
11360 0 0 61 0
11370 0 0 56 0
11380 1 0 15 0
11390 0 0 6 0
11400 7 0 22 0
11410 0 0 77 0
11420 0 0 17 0
11430 0 2 15 0
11440 0 0 61 0
11450 0 0 45 0
11460 0 0 40 0
11470 0 0 58 0
11480 0 0 40 0
11490 0 0 70 0
11500 0 0 56 0
11510 0 0 52 0
11520 0 0 39 0
11530 0 0 47 0
11540 0 0 25 0
11550 0 3 23 0
11560 0 0 29 0
11570 0 0 26 0
11580 0 0 16 0
11590 0 0 23 0
11600 0 10 10 0
11610 0 0 1 0
11620 0 0 8 0
11630 0 0 4 0
11640 1 0 8 0
11650 0 0 3 0
11660 0 0 13 0
11670 0 0 0 0
11680 0 1 6 0
11690 0 0 3 0
11700 0 0 13 0
11710 0 0 0 0
11720 0 0 1 0
11730 0 0 4 0
11740 2 0 0 0
11750 0 0 1 0
11760 0 0 7 0
11770 0 0 0 1
11780 0 1 0 5
11790 0 0 0 0
11800 0 8 1 0
11810 0 9 0 0
11820 0 15 0 0
11830 0 11 1 0
11840 0 1 0 0
11850 0 22 0 0
11860 0 26 0 0
11870 0 16 0 0
11880 0 20 4 0
11890 0 17 0 0
11900 0 24 2 2
11910 0 8 0 0
11920 0 0 0 0
11930 0 0 1 0
11940 0 0 7 0
11950 0 0 0 0
11960 0 3 0 0
11970 0 3 0 0
11980 0 2 0 0
11990 0 11 3 0
12000 0 2 0 0
12010 0 10 0 0
12020 0 34 0 0
12030 0 0 0 0
12040 0 0 1 0
12050 0 5 0 0
12060 0 0 2 0
12070 0 0 0 0
12080 0 0 13 0
12090 18 1 15 0
12100 6 2 6 0
12110 10 1 1 0
12120 10 1 6 0
12130 0 0 9 0
12140 12 8 0 0
12150 15 1 0 0
12160 12 11 4 0
12170 12 1 4 0
12180 37 5 3 0
12190 12 24 5 0
12200 22 9 10 0
12210 21 3 5 0
12220 1 14 7 0
12230 11 4 7 0
12240 9 2 16 0
12250 13 8 7 0
12260 16 4 6 0
12270 12 7 7 0
12280 2 8 7 0
12290 10 11 0 0
12300 11 5 2 0
12310 15 8 0 0
12320 22 9 0 0
12330 25 10 0 0
12340 14 10 9 0
12350 11 11 0 0
12360 14 7 0 0
12370 18 12 0 0
12380 21 8 0 0
12390 6 10 0 0
12400 0 7 0 0
12410 0 7 0 0
12420 9 7 0 1
12430 13 11 0 0
12440 24 5 0 0
12450 17 7 0 0
12460 20 1 0 0
12470 18 0 0 0
12480 18 8 0 0
12490 0 11 0 0
12500 12 0 0 0
12510 24 1 0 1
12520 24 0 0 0
12530 17 0 0 0
12540 7 7 0 0
12550 31 5 0 0
12560 4 8 0 0
12570 20 4 1 0
12580 20 3 0 0
12590 14 2 0 0
12600 22 11 0 0
12610 17 6 0 0
12620 21 8 0 0
12630 17 5 0 0
12640 6 10 0 0
12650 13 5 0 0
12660 6 6 0 0
12670 19 8 1 0
12680 25 10 0 0
12690 13 4 0 0
12700 14 9 0 0
12710 12 8 0 0
12720 11 6 4 1
12730 1 6 0 7
12740 13 6 0 0
